iter	Passed	Remaining
928	32589	2490
929	32624	2455
930	32661	2420
931	32695	2385
932	32727	2350
933	32776	2316
934	32813	2281
935	32843	2245
936	32871	2210
937	32909	2175
938	32952	2140
939	32987	2105
940	33025	2070
941	33059	2035
942	33096	2000
943	33137	1965
944	33172	1930
945	33206	1895
946	33236	1860
947	33273	1825
948	33310	1790
949	33345	1755
950	33382	1720
951	33414	1684
952	33443	1649
953	33485	1614
954	33526	1579
955	33565	1544
956	33599	1509
957	33631	1474
958	33670	1439
959	33697	1404
960	33720	1368
961	33746	1333
962	33770	1297
963	33795	1262
964	33821	1226
965	33847	1191
966	33874	1155
967	33898	1120
968	33922	1085
969	33947	1049
970	33971	1014
971	33996	979
972	34022	944
973	34043	908
974	34065	873
975	34087	838
976	34109	802
977	34129	767
978	34155	732
979	34177	697
980	34197	662
981	34218	627
982	34237	592
983	34256	557
984	34276	521
985	34295	486
986	34314	451
987	34334	417
988	34354	382
989	34372	347
990	34390	312
991	34409	277
992	34428	242
993	34446	207
994	34464	173
995	34485	138
996	34506	103
997	34524	69
998	34544	34
999	34563	0
